"entreprise","firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"PSA Retail France SAS","PSA Retail France SAS",3,"Distribution, Commerce de gros",0,"Collaboration, Communication",NA,78
"PUR","PUR",1,NA,NA,"Deep Learning",NA,75
"Pacific Pêche","Pacific Pêche",1,NA,NA,"Bases de donnée, Excel, Français, Git, Optimisation, Programmation, Reporting, Tableau, équipe",NA,34
"Paie & Rh Solutions","Paie & Rh Solutions",1,NA,NA,"Reporting, SQL, VBA, équipe",NA,64
"Partnaire","Partnaire",1,"Services aux Entreprises",7,"Collaboration, Optimisation, Reporting, équipe",55,45
"People Way","People Way",1,NA,NA,"Anglais, Bases de donnée, Collaboration, Communication, Créativité, Excel, Français, Optimisation, Python, Rapport, Statistique, modélisation, équipe",NA,75
"Pernod Ricard","Pernod Ricard",9,"Industrie Agro-alimentaire",NA,"Git",NA,75
"Philips","Philips",1,NA,NA,"Anglais, Excel, Python, modélisation, équipe",NA,75
"Pictarine","Pictarine",1,NA,NA,"Anglais, Communication, Créativité, Excel, Power BI, Python, R Studio, Rapport, SQL, Tableau, Team Player, collecte de données, équipe",NA,NA
"Pigment","Pigment",1,"Secteur informatique, ESN",NA,"Deep Learning",NA,NA
"Pixie Services France","Pixie Services France",4,"Secteur informatique, ESN",7,"Bases de donnée, C++, Collaboration, Hadoop, Programmation, Python, SQL, Spark, Statistique, équipe",NA,59
"Polyconseil","Polyconseil",4,"Secteur informatique, ESN",0,"AWS, Excel, Français, Git, Optimisation, Programmation, Python, modélisation, équipe",NA,75
"Postuler","Postuler",3,"Services aux Entreprises",3,"équipe",NA,57
"PriceHubble","PriceHubble",7,"Immobilier, Secteur informatique, ESN",NA,"English, Python, Spark",NA,75
"Procter & Gamble","Procter & Gamble",1,NA,NA,"Autonomous, Big Data Technologies, Communication, Communication Skills, English, Excel, French",NA,75
"Promovacances","Promovacances",1,"Restauration, Tourisme, Hôtellerie, Loisirs",1,"Français, équipe",NA,75
"Proxiel","Proxiel",2,"Secteur informatique, ESN",1,"Collaboration, Optimisation, Python, SQL, équipe",38,13
"Publicis Groupe","Publicis Groupe",1,NA,NA,"Azure, Git, Intelligence artificielle, Optimisation, Python, Spark, Statistique, modélisation",NA,75
"Publicis Sapient","Publicis Sapient",1,"Média, Internet, Communication",NA,"Database, Git",NA,75
"PwC","PwC",16,"Secteur informatique, ESN",NA,"équipe",NA,92
"QIMA","QIMA",1,NA,NA,"Anglais, Communication, Curiosité, Excel, Rapport, Reporting, Rigueur, Statistique",NA,NA
"QUANTILIA","QUANTILIA",1,NA,NA,"Collaboration, Database, English, Python",NA,6
"Qare","Qare",1,NA,NA,"Collaboration, Excel, Git, Python, Rapport, SQL, Statistique, Tableau, équipe",NA,75
"Quadra Informatique","Quadra Informatique",1,NA,NA,"Communication, Reporting, Rigueur, équipe",NA,67
