"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"botify",2,"Services aux Entreprises",NA,"Collaboration, Communication, Communication Skills, English, Excel, Forecasting, French, Git, Natural Language Processing, Optimization, Python, SQL, Statistics, Team Player",NA,75
"boulanger",1,"Distribution, Commerce de gros",7,"Reporting, équipe",60000,59
"boursorama",2,NA,NA,"Python, Reporting, Statistique, équipe",NA,92
"bouygues",8,"BTP",0.75,"équipe",NA,92
"bpce",13,"Banque, Assurance, Finance",7,"équipe",NA,75
"bpgrandouest",1,NA,NA,"Bases de donnée, Curiosité, Power BI, Rigueur, SQL, Statistique, équipe",NA,44
"brainpower",1,"Secteur informatique, ESN",NA,"Autonome, Autonôme, Git, Optimisation, équipe",NA,38
"brgm",5,"Service public des collectivités territoriales",0,"Python, Rapport, modélisation",NA,45
"brittany ferries",1,"Tourisme, Hôtellerie, Loisirs",1,"Prévision, équipe",NA,29
"bsport solution",7,NA,NA,"AWS, Database, Optimisation, Proactive, Python, SQL",NA,NA
"bureau veritas",3,"Secteur informatique, ESN",0,"Communication",NA,69
"business & decision",21,"Secteur informatique, ESN",7,"équipe",NA,31
"business insight",1,NA,NA,"Anglais, English, Français, French, Power BI, Programmation, Tableau, équipe",NA,NA
"but",2,"Distribution, Commerce de gros",NA,"Autonome, Autonôme, Bases de donnée, Excel, Git, Power BI, Python, Reporting, SQL, Statistique, Tableau, collecte de données, équipe",NA,77
"cafpi",1,"Banque, Assurance, Finance",0,"Git, Intelligence artificielle, Reporting, équipe",NA,64
"caisse d'epargne",3,NA,NA,"Power BI, Rigueur, SQL",NA,38
"caisse d'epargne aquitaine poitou charentes",1,NA,NA,"Base de donnée, Collaboration, Communication, Intelligence artificielle, Power BI, SQL, Tableau, équipe",NA,33
"caisse des depots",3,NA,NA,"équipe",NA,75
"caisse des depots et consignations",1,NA,NA,"Anglais, Excel, Power BI, Programmation, Prévision, Python, Rapport, Reporting, SQL, Tableau, VBA, modélisation, équipe",NA,75
"canal plus",1,"Média, Internet, Communication",7,"AWS, Anglais, Collaboration, Git, Python, Spark, équipe",NA,92
"capgemini",63,"Secteur informatique, ESN",1.33333333333333,"équipe",NA,75
"capital management fund",2,NA,NA,"Collaboration, Deep Learning, Python, Statistics",NA,75
"cardiologs",2,"Secteur informatique, ESN",0,"Deep Learning",NA,75
"carrefour",21,"Distribution, Commerce de gros",0,"équipe",NA,91
"ccpa group",1,NA,NA,"Créativité, Curiosité, Git, Power BI, Python, Rigueur, Résolution de Problèmes, SQL, collecte de données, modélisation, équipe",NA,NA
"cdiscount",7,"Distribution, Commerce de gros",0.25,"Bases de donnée, équipe",NA,33
"cea",1,NA,NA,"Deep Learning",NA,91
"ceb",1,NA,NA,"Adaptabilité, Anglais, Base de donnée, Bases de donnée, Collaboration, Communication, Excel, Français, Power BI, Python, Rapport, Reporting, Résolution de Problèmes, SQL, Statistique, Tableau, Visualisation de donnée, collecte de données, modélisation, équipe",87744,75
"cegid",1,NA,NA,"Anglais, Collaboration, Curiosité, Excel, Reporting, Tableau, équipe",54000,69
"celad",5,"Secteur informatique, ESN",7,"Python",45000,92
"cenova",9,NA,2,"Anglais, Azure, Python, Rapport, équipe",NA,59
"centre hospitalier departemental de vendee",1,NA,NA,"Deep Learning",NA,85
"centre hospitalier departemental vendee site de la roche sur yon",1,NA,NA,"Deep Learning",NA,85
"cereg territoires",1,NA,NA,"Base de donnée, Git, Programmation, Python, SQL, Tableau, équipe",30000,44
"certideal",2,"Distribution, Commerce de gros",0,"French, équipe",NA,92
"ceva logistics",2,NA,NA,"Communication, Creativity, Excel, Git",NA,13
"cgi",68,"Secteur informatique, ESN",1.6,"Excel",NA,31
"chanel",3,"Industrie Manufacturière",NA,"Deep Learning",NA,75
"chaps vision",2,NA,NA,"Anglais, Communication, Excel, Français, Git, Python, équipe",NA,75
"chd vendee - drh",1,NA,NA,"Deep Learning",NA,85
"chela+",1,NA,NA,"Anglais, Base de donnée, Français, Python, Statistique, TensorFlow, équipe",NA,94
"cherche susan desesperement",1,NA,NA,"Autonome, Autonôme, Prévision, Python, SQL, Statistique, Volonté d'Apprendre, modélisation, équipe",NA,75
"chr numerique",1,"Secteur informatique, ESN",1,"équipe",NA,29
"christian dior",2,"Industrie Manufacturière",7,"Deep Learning",NA,92
"chronopost",1,NA,NA,"Collaboration, Excel, Programmation, Prévision, Python, Reporting, Tableau",NA,75
"chru de brest",1,NA,NA,"Deep Learning",NA,29
"ciril group",3,"Secteur informatique, ESN",1,"Bases de donnée, Statistique, équipe",NA,13
"civils de la defense",1,NA,NA,"Apprentissage profond, Communication, Git, Intelligence artificielle, Programmation, Python, Rapport, Statistique, équipe",NA,75
"clamae group",1,NA,NA,"Base de donnée, Excel, Français, Python, SQL, Statistique, Tableau, modélisation, équipe",NA,75
"claranet",4,"Secteur informatique, ESN",7,"Git, équipe",NA,59
"cleeven se",1,NA,NA,"Anglais, Excel, Optimisation, Programmation, Python, Statistique, modélisation, équipe",40000,6
"clementine",1,NA,NA,"Anglais, Bases de donnée, Collaboration, Communication, Excel, Git, Power BI, Rapport, SQL, Statistique, Tableau, équipe",NA,75
"cls",1,NA,NA,"Deep Learning",NA,31
"cls - collecte localisation satellites",1,"Industrie high-tech, Telecom",0,"Deep Learning",NA,31
"cnav",1,NA,NA,"Bases de donnée, Excel, SQL, VBA",45000,75
"cnes - centre national d'etudes spatiales",2,NA,NA,"Collaboration, Database, Programming, modélisation",NA,91
"cnp assurances",6,"Banque, Assurance, Finance",0.666666666666667,"Deep Learning",NA,92
"cnrs",2,NA,NA,"Anglais, Communication, Contrôle de version, Gestion de Projets, Git, Programmation, Python, Statistique, modélisation, équipe",35286,38
"coface",7,NA,NA,"Attention to Detail, Communication, Data Visualization, Database, Database Management, English, Excel, French, Power BI, Presentation Skills, Statistics",NA,NA
"cofidis",2,NA,NA,"Autonome, Autonôme, Optimisation, Programmation, Rigueur, Statistique, Tableau, équipe",40000,59
"cognizant",1,NA,NA,"Power BI",NA,75
"colas",1,NA,NA,"Git, Power BI, Statistique",NA,54
"collins aerospace",1,NA,NA,"Anglais, Collaboration, Curiosité, Excel, Prévision, Reporting, Rigueur, Tableau, équipe",NA,27
"comptalents",1,NA,NA,"Anglais, Base de donnée, Collaboration, Excel, Power BI, Reporting, Rigueur, équipe",40000,95
"consept ingenierie",1,"Secteur informatique, ESN",7,NA,35000,35
"consort group",2,"Secteur informatique, ESN",1,"Communication, Hadoop, Python, SQL, équipe",NA,33
"consortia",7,NA,NA,"Communication, Hadoop, Optimisation, SQL, Spark, modélisation, équipe",NA,NA
"contexte",7,NA,5,"Collaboration, Python, SQL, Statistique, Tableau, Visualisation de donnée, équipe",NA,NA
"continental",2,NA,NA,"Communication, Communication Skills, Data Visualization, English, Excel, Git, Power BI, Programming, Python, Reporting, SQL, Statistics",NA,31
"coperneec",2,NA,NA,"Deep Learning",NA,75
"council of europe development bank",1,NA,NA,"Attention to Detail, English, Excel, French, Power BI, Python, Reporting, SQL, Statistics, Tableau, data collection",NA,75
"cpam de la marne",1,NA,NA,"Bases de donnée, Excel, Power BI, Programmation, Rigueur, SQL, Statistique, Tableau, VBA, équipe",NA,51
"credit agricole",26,"Banque, Assurance, Finance",1.72727272727273,"équipe",55000,75
"criteo",2,"Média, Internet, Communication",NA,"Communication, Communication Skills, Excel, Python, Statistics",NA,75
"cs group",9,"Secteur informatique, ESN",5.44444444444444,NA,NA,64
"cyllene",28,NA,4,"AWS, Azure, Python, SQL",52500,NA
